Date	Massa|22_Q simulé	Massa_Debit cleaned 1982-2025-09	Massa|69_i	Massa|69_T	Massa|69_RG	Massa|70_h	Massa|71_h	Massa|71_A	Massa|72_h	Massa|73_Q	Massa|73_QNeige	Massa|73_QGlace	Massa|73_H	Massa|73_A	DayOfYearSinus	HourOfDaySinus
2020-05-03T08:00:00.0000000	5.944228	5.7	0	-4.442805	4.1671094E+10	0.58047926	0.08852341	83138136	0.005636472	0.4821568	0.038675133	0.008096381	64.73301	115295630	0.7671863	0.75
2020-05-03T09:00:00.0000000	5.896816	5.65	3.7862335E-10	-2.664204	7.6617376E+10	0.5804139	0.08844553	83138136	0.0055911606	0.4646058	0.033647373	0.012695473	64.73308	115295630	0.7671863	0.8535534
2020-05-03T10:00:00.0000000	5.8548717	5.62	6.934592E-09	-1.002409	1.1708255E+11	0.58029765	0.08836482	83138136	0.0055545843	0.45164344	0.029273212	0.020287327	64.73315	115295630	0.7671863	0.9330127
2020-05-03T11:00:00.0000000	5.823422	5.635	2.7303768E-10	0.48269477	1.514915E+11	0.5800834	0.08827791	83138136	0.005532647	0.44283465	0.025467696	0.030327428	64.733215	115295630	0.7671863	0.9829629
2020-05-03T12:00:00.0000000	5.804922	5.7033334	4.539165E-09	1.6276789	1.7614419E+11	0.57979023	0.0881888	83138136	0.005542501	0.43953416	0.11899588	0.04198292	64.733284	115295630	0.7671863	1
2020-05-03T13:00:00.0000000	5.899073	5.866667	1.1250788E-08	2.6049523	1.8350939E+11	0.57941085	0.08809871	83138136	0.0055847135	0.5332056	0.10352641	0.0548166	64.73335	115295630	0.7671863	0.9829629
2020-05-03T14:00:00.0000000	5.930269	6.173333	4.367365E-08	3.2366135	1.7083385E+11	0.5789977	0.088009395	83138136	0.0056569357	0.5477253	0.090068	0.0680673	64.73343	115295630	0.7671863	0.9330127
2020-05-03T15:00:00.0000000	5.9844537	6.47	1.042544E-07	3.4433682	1.475821E+11	0.57861954	0.087921984	83138136	0.005747341	0.5692612	0.07835916	0.08086625	64.73349	115295630	0.7671863	0.8535534
2020-05-03T16:00:00.0000000	6.0546536	6.745	1.2897736E-07	3.1145208	1.1901849E+11	0.57832456	0.08783817	83138136	0.0058460073	0.5955069	0.06817247	0.09218188	64.73357	115295630	0.7671863	0.75
2020-05-03T17:00:00.0000000	6.129368	7.0666666	8.170457E-08	2.898487	9.058764E+10	0.5780364	0.08775401	83138136	0.0059279613	0.6252629	0.059310045	0.10233405	64.73363	115295630	0.7671863	0.62940955
2020-05-03T18:00:00.0000000	6.193267	7.0933332	1.1822396E-07	2.3428974	6.268199E+10	0.57786494	0.08768489	83138136	0.0060454477	0.651678	0.051599734	0.11072583	64.7337	115295630	0.7671863	0.5
2020-05-03T19:00:00.0000000	6.264008	7.035	1.2766941E-07	1.6515032	4.035386E+10	0.5778532	0.08764397	83138136	0.0062179687	0.6775187	0.04489178	0.11720262	64.73377	115295630	0.7671863	0.37059048
2020-05-03T20:00:00.0000000	6.3505535	6.9166665	1.8124068E-07	1.0762213	1.759711E+10	0.57810473	0.08761364	83138136	0.006392348	0.7024295	0.039055843	0.12211888	64.73385	115295630	0.7671863	0.25
2020-05-03T21:00:00.0000000	6.435574	6.7816668	1.0500275E-07	0.5181974	1.9444032E+09	0.5782393	0.08757422	83138136	0.0065161726	0.7228226	0.033978585	0.12561026	64.73392	115295630	0.7671863	0.14644662
2020-05-03T22:00:00.0000000	6.4913335	6.6816664	7.6108165E-08	-0.0012641698	828816.44	0.57834786	0.0875243	83138136	0.006594359	0.7366765	0.029561369	0.12784573	64.733986	115295630	0.7671863	0.0669873
2020-05-03T23:00:00.0000000	6.522105	6.61	8.67906E-08	-0.47876084	1936824.6	0.5785357	0.087469414	83138136	0.006650458	0.745859	0.025718387	0.12899007	64.734055	115295630	0.7671863	0.017037086
2020-05-04T00:00:00.0000000	6.538715	6.5066667	6.571072E-08	-1.009388	1408013.8	0.57871914	0.08740715	83138136	0.006675164	0.7490928	0.022374999	0.12900896	64.73412	115295630	0.77442145	0
2020-05-04T01:00:00.0000000	6.537876	6.4366665	2.302606E-08	-1.2135532	2299480	0.5787735	0.087339476	83138136	0.006675463	0.7474093	0.019466247	0.12874788	64.73419	115295630	0.77442145	0.017037086
2020-05-04T02:00:00.0000000	6.5231133	6.386667	6.2256906E-09	-1.5876886	1847761.9	0.5788057	0.08727124	83138136	0.006667242	0.74268675	0.016935635	0.12775104	64.73427	115295630	0.77442145	0.0669873
2020-05-04T03:00:00.0000000	6.502838	6.3366666	9.786585E-10	-1.8312384	1966292.6	0.57884336	0.08720005	83138136	0.0066450625	0.7355889	0.0653424	0.12632897	64.73434	115295630	0.77442145	0.14644662
2020-05-04T04:00:00.0000000	6.51333	6.29	3.2597053E-10	-2.2678425	1227799	0.5789037	0.087128356	83138136	0.006615559	0.7652646	0.10201952	0.12412092	64.73441	115295630	0.77442145	0.25
2020-05-04T05:00:00.0000000	6.508823	6.238333	2.1820115E-10	-2.8105106	2715193	0.57900006	0.087055795	83138136	0.006575307	0.78287804	0.12418831	0.12096458	64.73449	115295630	0.77442145	0.37059048
2020-05-04T06:00:00.0000000	6.484442	6.1916666	1.9942316E-10	-3.2650263	3301631.5	0.57911503	0.08698326	83138136	0.0065271803	0.78542477	0.13177072	0.11709896	64.734566	115295630	0.77442145	0.5
2020-05-04T07:00:00.0000000	6.440642	6.1466665	9.6223425E-11	-3.331767	6.6348047E+09	0.579195	0.08691011	83138136	0.0064731175	0.77293336	0.12782653	0.11335031	64.734634	115295630	0.77442145	0.62940955
2020-05-04T08:00:00.0000000	5.977693	6.1183333	0	-5.2428045	4.246483E+10	0.57810605	0.0895083	83138136	0.0052776746	0.56200093	0.19611788	0.06783154	64.734726	115295630	0.77442145	0.75
